retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
5/5/2023 7:20:37,TH-52,Hang Chat,Lampang,Thailand,167,p2,30,1006,47,1.02,262
5/5/2023 8:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,31,1007,58,2.52,203
5/5/2023 8:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,65,p2,31,1006,70,3.6,190
5/5/2023 8:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,62,p2,32,1007,70,2.06,170
5/5/2023 8:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,45,p2,32,1007,80,2.06,170
5/5/2023 8:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,67,p2,30,1007,58,3.91,199
5/5/2023 8:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,32,1006,58,4.7,193
5/5/2023 8:18:32,TH-16,Ban Mi,Lop Buri,Thailand,83,p2,32,1006,60,4.72,191
5/5/2023 8:19:03,TH-20,Na Kluea,Chon Buri,Thailand,55,p2,32,1007,70,4.95,192
5/5/2023 8:19:35,TH-21,Ban Khai,Rayong,Thailand,21,p2,31,1008,79,4.17,191
5/5/2023 8:20:05,TH-50,Chiang Mai,Chiang Mai,Thailand,140,p2,30,988,61,1.03,0
5/5/2023 8:20:36,TH-52,Hang Chat,Lampang,Thailand,171,p2,32,1006,46,1.18,259
5/5/2023 9:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,33,1007,52,2.26,209
5/5/2023 9:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,61,p2,33,1007,62,3.09,200
5/5/2023 9:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,61,p2,33,1007,64,2.57,190
5/5/2023 9:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,49,p2,34,1008,68,2.57,190
5/5/2023 9:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,65,p2,34,1007,49,3.93,209
5/5/2023 9:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,33,1006,49,4.61,200
5/5/2023 9:18:33,TH-16,Ban Mi,Lop Buri,Thailand,83,p2,33,1006,51,4.58,199
5/5/2023 9:19:04,TH-20,Na Kluea,Chon Buri,Thailand,55,p2,34,1007,65,4.57,194
5/5/2023 9:19:35,TH-21,Ban Khai,Rayong,Thailand,21,p2,32,1008,74,4.13,191
5/5/2023 9:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,133,p2,30,990,53,1.03,0
5/5/2023 9:20:37,TH-52,Hang Chat,Lampang,Thailand,159,p2,33,1006,35,1.19,250
5/5/2023 10:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,34,1006,46,2.33,201
5/5/2023 10:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,59,p2,33,1007,62,3.09,200
5/5/2023 10:16:28,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,60,p2,35,1007,53,3.6,240
5/5/2023 10:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,50,p2,35,1008,68,3.6,240
5/5/2023 10:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,72,p2,35,1006,41,4.0,213
5/5/2023 10:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,99,p2,33,1006,49,4.61,200
5/5/2023 10:18:32,TH-16,Ban Mi,Lop Buri,Thailand,99,p2,33,1006,51,4.58,199
5/5/2023 10:19:03,TH-20,Na Kluea,Chon Buri,Thailand,74,p2,35,1007,62,4.7,201
5/5/2023 10:19:34,TH-21,Ban Khai,Rayong,Thailand,46,p2,34,1008,66,4.35,193
5/5/2023 10:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,138,p2,31,1008,58,1.54,0
5/5/2023 10:20:36,TH-52,Hang Chat,Lampang,Thailand,151,p2,35,1006,34,1.43,238
5/5/2023 11:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,59,p2,35,1006,41,2.89,190
5/5/2023 11:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,62,p2,34,1007,55,2.57,250
5/5/2023 11:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,62,p2,36,1007,47,4.12,240
5/5/2023 11:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,52,p2,36,1007,64,4.12,240
5/5/2023 11:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,74,p2,37,1005,36,4.03,214
5/5/2023 11:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,93,p2,36,1005,36,4.14,213
5/5/2023 11:18:32,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,36,1005,38,3.95,216
5/5/2023 11:19:03,TH-20,Na Kluea,Chon Buri,Thailand,74,p2,35,1007,61,4.92,212
5/5/2023 11:19:33,TH-21,Ban Khai,Rayong,Thailand,53,p2,34,1008,62,4.83,191
5/5/2023 11:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,138,p2,33,1008,49,2.06,0
5/5/2023 11:20:35,TH-52,Hang Chat,Lampang,Thailand,148,p2,37,1005,31,1.68,227
5/5/2023 12:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,61,p2,36,1005,38,3.78,181
5/5/2023 12:15:59,TH-11,Bang Phli,Samut Prakan,Thailand,63,p2,35,1007,55,2.57,0
5/5/2023 12:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,59,p2,37,1006,43,4.12,240
5/5/2023 12:17:00,TH-13,Khlong Luang,Pathum Thani,Thailand,50,p2,38,1006,61,4.12,240
5/5/2023 12:17:31,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,80,p2,36,1004,32,3.93,215
5/5/2023 12:18:02,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,93,p2,37,1004,32,3.99,213
5/5/2023 12:18:34,TH-16,Ban Mi,Lop Buri,Thailand,78,p2,37,1004,34,3.67,222
5/5/2023 12:19:05,TH-20,Na Kluea,Chon Buri,Thailand,74,p2,35,1006,60,5.38,213
5/5/2023 12:19:35,TH-21,Ban Khai,Rayong,Thailand,53,p2,34,1007,63,5.18,191
5/5/2023 12:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,134,p2,35,1007,44,3.09,170
5/5/2023 12:20:37,TH-52,Hang Chat,Lampang,Thailand,138,p2,38,1004,27,1.99,225
5/5/2023 13:15:28,TH-10,Phra Nakhon,Bangkok,Thailand,61,p2,39,1003,35,3.91,180
5/5/2023 13:16:00,TH-11,Bang Phli,Samut Prakan,Thailand,63,p2,36,1006,55,5.14,180
5/5/2023 13:16:30,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,55,p2,38,1005,39,4.63,230
5/5/2023 13:17:01,TH-13,Khlong Luang,Pathum Thani,Thailand,45,p2,39,1005,60,4.63,230
5/5/2023 13:17:32,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,80,p2,36,1003,30,3.71,211
5/5/2023 13:18:04,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,83,p2,37,1003,31,3.65,206
5/5/2023 13:18:35,TH-16,Ban Mi,Lop Buri,Thailand,62,p2,37,1003,33,3.09,222
5/5/2023 13:19:05,TH-20,Na Kluea,Chon Buri,Thailand,72,p2,34,1005,60,5.18,216
5/5/2023 13:19:37,TH-21,Ban Khai,Rayong,Thailand,42,p2,35,1006,61,5.2,189
5/5/2023 13:20:07,TH-50,Chiang Mai,Chiang Mai,Thailand,128,p2,36,1006,41,3.09,190
